date,PostCount
2012-02-23,10.0
2012-02-28,6.0
2012-03-04,4.0
2012-03-09,7.0
2012-03-14,12.0
2012-03-19,8.0
2012-03-24,11.0
2012-03-29,6.0
2012-04-03,9.0
2012-04-08,6.0
2012-04-13,5.0
2012-04-18,4.0
2012-04-23,7.0
2012-04-28,7.0
2012-05-03,6.0
2012-05-08,9.0
2012-05-13,5.0
2012-05-18,5.0
2012-05-23,7.0
2012-05-28,2.0
2012-06-02,7.0
2012-06-07,5.0
2012-06-12,6.0
2012-06-17,3.0
2012-06-22,2.0
2012-06-27,3.0
2012-07-02,3.0
2012-07-07,5.0
2012-07-12,2.0
2012-07-17,5.0
2012-07-22,6.0
2012-07-27,7.0
2012-08-01,5.0
2012-08-06,4.0
2012-08-11,2.0
2012-08-16,5.0
2012-08-21,8.0
2012-08-26,3.0
2012-08-31,3.0
2012-09-05,8.0
2012-09-10,8.0
2012-09-15,10.0
2012-09-20,8.0
2012-09-25,12.0
2012-09-30,8.0
2012-10-05,8.0
2012-10-10,9.0
2012-10-15,13.0
2012-10-20,6.0
2012-10-25,10.0
2012-10-30,5.0
2012-11-04,8.0
2012-11-09,11.0
2012-11-14,6.0
2012-11-19,10.0
2012-11-24,12.0
2012-11-29,8.0
2012-12-04,13.0
2012-12-09,12.0
2012-12-14,8.0
2012-12-19,4.0
2012-12-24,10.0
2012-12-29,5.0
2013-01-03,8.0
2013-01-08,10.0
2013-01-13,6.0
2013-01-18,9.0
2013-01-23,9.0
2013-01-28,4.0
2013-02-02,4.0
2013-02-07,6.0
2013-02-12,6.0
2013-02-17,4.0
2013-02-22,15.0
2013-02-27,5.0
2013-03-04,8.0
2013-03-09,2.0
2013-03-14,10.0
2013-03-19,8.0
2013-03-24,14.0
2013-03-29,9.0
2013-04-03,8.0
2013-04-08,10.0
2013-04-13,11.0
2013-04-18,6.0
2013-04-23,9.0
2013-04-28,5.0
2013-05-03,16.0
2013-05-08,8.0
2013-05-13,5.0
2013-05-18,13.0
2013-05-23,9.0
2013-05-28,3.0
2013-06-02,7.0
2013-06-07,4.0
2013-06-12,7.0
2013-06-17,5.0
2013-06-22,8.0
2013-06-27,10.0
2013-07-02,8.0
2013-07-07,6.0
2013-07-12,6.0
2013-07-17,2.0
2013-07-22,6.0
2013-07-27,6.0
2013-08-01,2.0
2013-08-06,5.0
2013-08-11,7.0
2013-08-16,2.0
2013-08-21,7.0
2013-08-26,5.0
2013-08-31,4.0
2013-09-05,7.0
2013-09-10,6.0
2013-09-15,12.0
2013-09-20,8.0
2013-09-25,5.0
2013-09-30,8.0
2013-10-05,7.0
2013-10-10,6.0
2013-10-15,3.0
2013-10-20,5.0
2013-10-25,5.0
2013-10-30,11.0
2013-11-04,4.0
2013-11-09,14.0
2013-11-14,11.0
2013-11-19,11.0
2013-11-24,7.0
2013-11-29,3.0
2013-12-04,6.0
2013-12-09,11.0
2013-12-14,11.0
2013-12-19,4.0
2013-12-24,9.0
2013-12-29,7.0
2014-01-03,10.0
2014-01-08,8.0
2014-01-13,8.0
2014-01-18,4.0
2014-01-23,9.0
2014-01-28,4.0
2014-02-02,12.0
2014-02-07,15.0
2014-02-12,4.0
2014-02-17,12.0
2014-02-22,7.0
2014-02-27,9.0
2014-03-04,10.0
2014-03-09,7.0
2014-03-14,4.0
2014-03-19,10.0
2014-03-24,15.0
2014-03-29,8.0
2014-04-03,17.0
2014-04-08,6.0
2014-04-13,13.0
2014-04-18,9.0
2014-04-23,9.0
2014-04-28,10.0
2014-05-03,6.0
2014-05-08,10.0
2014-05-13,4.0
2014-05-18,7.0
2014-05-23,8.0
2014-05-28,2.0
2014-06-02,10.0
2014-06-07,4.0
2014-06-12,7.0
2014-06-17,3.0
2014-06-22,5.0
2014-06-27,7.0
2014-07-02,4.0
2014-07-07,3.0
2014-07-12,4.0
2014-07-17,4.0
2014-07-22,8.0
2014-07-27,7.0
2014-08-01,1.0
2014-08-06,3.0
2014-08-11,4.0
2014-08-16,6.0
2014-08-21,3.0
2014-08-26,3.0
