date,PostCount
2012-02-23,15.0
2012-02-28,9.0
2012-03-04,10.0
2012-03-09,13.0
2012-03-14,12.0
2012-03-19,16.0
2012-03-24,12.0
2012-03-29,2.0
2012-04-03,6.0
2012-04-08,15.0
2012-04-13,16.0
2012-04-18,15.0
2012-04-23,14.0
2012-04-28,19.0
2012-05-03,9.0
2012-05-08,16.0
2012-05-13,18.0
2012-05-18,11.0
2012-05-23,17.0
2012-05-28,16.0
2012-06-02,13.0
2012-06-07,19.0
2012-06-12,13.0
2012-06-17,12.0
2012-06-22,20.0
2012-06-27,4.0
2012-07-02,13.0
2012-07-07,14.0
2012-07-12,14.0
2012-07-17,14.0
2012-07-22,17.0
2012-07-27,9.0
2012-08-01,21.0
2012-08-06,15.0
2012-08-11,24.0
2012-08-16,12.0
2012-08-21,13.0
2012-08-26,21.0
2012-08-31,34.0
2012-09-05,17.0
2012-09-10,17.0
2012-09-15,16.0
2012-09-20,7.0
2012-09-25,12.0
2012-09-30,18.0
2012-10-05,19.0
2012-10-10,10.0
2012-10-15,15.0
2012-10-20,8.0
2012-10-25,19.0
2012-10-30,9.0
2012-11-04,12.0
2012-11-09,23.0
2012-11-14,18.0
2012-11-19,18.0
2012-11-24,18.0
2012-11-29,17.0
2012-12-04,24.0
2012-12-09,15.0
2012-12-14,17.0
2012-12-19,12.0
2012-12-24,24.0
2012-12-29,13.0
2013-01-03,18.0
2013-01-08,18.0
2013-01-13,20.0
2013-01-18,17.0
2013-01-23,17.0
2013-01-28,17.0
2013-02-02,17.0
2013-02-07,14.0
2013-02-12,14.0
2013-02-17,12.0
2013-02-22,14.0
2013-02-27,12.0
2013-03-04,19.0
2013-03-09,31.0
2013-03-14,15.0
2013-03-19,20.0
2013-03-24,34.0
2013-03-29,16.0
2013-04-03,23.0
2013-04-08,14.0
2013-04-13,23.0
2013-04-18,17.0
2013-04-23,20.0
2013-04-28,24.0
2013-05-03,16.0
2013-05-08,19.0
2013-05-13,17.0
2013-05-18,23.0
2013-05-23,19.0
2013-05-28,12.0
2013-06-02,19.0
2013-06-07,9.0
2013-06-12,23.0
2013-06-17,14.0
2013-06-22,26.0
2013-06-27,27.0
2013-07-02,18.0
2013-07-07,26.0
2013-07-12,21.0
2013-07-17,14.0
2013-07-22,26.0
2013-07-27,19.0
2013-08-01,18.0
2013-08-06,12.0
2013-08-11,13.0
2013-08-16,26.0
2013-08-21,19.0
2013-08-26,16.0
2013-08-31,25.0
2013-09-05,12.0
2013-09-10,23.0
2013-09-15,23.0
2013-09-20,25.0
2013-09-25,13.0
2013-09-30,19.0
2013-10-05,25.0
2013-10-10,18.0
2013-10-15,22.0
2013-10-20,18.0
2013-10-25,23.0
2013-10-30,27.0
2013-11-04,17.0
2013-11-09,26.0
2013-11-14,24.0
2013-11-19,28.0
2013-11-24,30.0
2013-11-29,27.0
2013-12-04,24.0
2013-12-09,42.0
2013-12-14,45.0
2013-12-19,35.0
2013-12-24,29.0
2013-12-29,21.0
2014-01-03,21.0
2014-01-08,18.0
2014-01-13,24.0
2014-01-18,27.0
2014-01-23,23.0
2014-01-28,28.0
2014-02-02,39.0
2014-02-07,25.0
2014-02-12,27.0
2014-02-17,34.0
2014-02-22,29.0
2014-02-27,27.0
2014-03-04,36.0
2014-03-09,30.0
2014-03-14,20.0
2014-03-19,27.0
