date,PostCount
2009-12-20 18:33:55,1.0
2009-12-25 18:33:55,0.0
2009-12-30 18:33:55,0.0
2010-01-04 18:33:55,0.0
2010-01-09 18:33:55,0.0
2010-01-14 18:33:55,0.0
2010-01-19 18:33:55,0.0
2010-01-24 18:33:55,0.0
2010-01-29 18:33:55,0.0
2010-02-03 18:33:55,0.0
2010-02-08 18:33:55,0.0
2010-02-13 18:33:55,0.0
2010-02-18 18:33:55,0.0
2010-02-23 18:33:55,0.0
2010-02-28 18:33:55,0.0
2010-03-05 18:33:55,0.0
2010-03-10 18:33:55,0.0
2010-03-15 18:33:55,0.0
2010-03-20 18:33:55,0.0
2010-03-25 18:33:55,1.0
2010-03-30 18:33:55,0.0
2010-04-04 18:33:55,0.0
2010-04-09 18:33:55,0.0
2010-04-14 18:33:55,0.0
2010-04-19 18:33:55,0.0
2010-04-24 18:33:55,0.0
2010-04-29 18:33:55,0.0
2010-05-04 18:33:55,0.0
2010-05-09 18:33:55,0.0
2010-05-14 18:33:55,0.0
2010-05-19 18:33:55,0.0
2010-05-24 18:33:55,0.0
2010-05-29 18:33:55,0.0
2010-06-03 18:33:55,0.0
2010-06-08 18:33:55,0.0
2010-06-13 18:33:55,0.0
2010-06-18 18:33:55,0.0
2010-06-23 18:33:55,0.0
2010-06-28 18:33:55,1.0
2010-07-03 18:33:55,0.0
2010-07-08 18:33:55,0.0
2010-07-13 18:33:55,0.0
2010-07-18 18:33:55,0.0
2010-07-23 18:33:55,0.0
2010-07-28 18:33:55,0.0
2010-08-02 18:33:55,0.0
2010-08-07 18:33:55,0.0
2010-08-12 18:33:55,0.0
2010-08-17 18:33:55,0.0
2010-08-22 18:33:55,1.0
2010-08-27 18:33:55,0.0
2010-09-01 18:33:55,0.0
2010-09-06 18:33:55,0.0
2010-09-11 18:33:55,0.0
2010-09-16 18:33:55,0.0
2010-09-21 18:33:55,0.0
2010-09-26 18:33:55,0.0
2010-10-01 18:33:55,0.0
2010-10-06 18:33:55,0.0
2010-10-11 18:33:55,0.0
2010-10-16 18:33:55,0.0
2010-10-21 18:33:55,0.0
2010-10-26 18:33:55,0.0
2010-10-31 18:33:55,0.0
2010-11-05 18:33:55,0.0
2010-11-10 18:33:55,0.0
2010-11-15 18:33:55,0.0
2010-11-20 18:33:55,0.0
2010-11-25 18:33:55,0.0
2010-11-30 18:33:55,0.0
2010-12-05 18:33:55,0.0
2010-12-10 18:33:55,0.0
2010-12-15 18:33:55,0.0
2010-12-20 18:33:55,0.0
2010-12-25 18:33:55,0.0
2010-12-30 18:33:55,0.0
2011-01-04 18:33:55,0.0
2011-01-09 18:33:55,0.0
2011-01-14 18:33:55,1.0
2011-01-19 18:33:55,0.0
2011-01-24 18:33:55,0.0
2011-01-29 18:33:55,1.0
2011-02-03 18:33:55,0.0
2011-02-08 18:33:55,0.0
2011-02-13 18:33:55,0.0
2011-02-18 18:33:55,0.0
2011-02-23 18:33:55,0.0
2011-02-28 18:33:55,1.0
2011-03-05 18:33:55,0.0
2011-03-10 18:33:55,0.0
2011-03-15 18:33:55,0.0
2011-03-20 18:33:55,0.0
2011-03-25 18:33:55,0.0
2011-03-30 18:33:55,0.0
2011-04-04 18:33:55,0.0
2011-04-09 18:33:55,0.0
2011-04-14 18:33:55,0.0
2011-04-19 18:33:55,1.0
2011-04-24 18:33:55,1.0
2011-04-29 18:33:55,1.0
2011-05-04 18:33:55,0.0
2011-05-09 18:33:55,1.0
