id,value
"RI","1"
"VT","1"
"","680"
"NY","42"
"CA 94301","1"
"GA","7"
"NV","2"
"CA 94305","1"
"TN","3"
"CA","60"
"TX 77042","1"
"NY 12457","1"
"California","1"
"OK","1"
"VA","7"
"MI","3"
"OH","1"
"IA","1"
"FL","2"
"MD","2"
"MA","12"
"TX 79031","2"
"SC","2"
"AR","1"
"IL","5"
"UT","5"
"IN","3"
"CT","2"
"MN","7"
"DC","4"
"CA 95338","1"
"AZ","7"
"WI","3"
"MO","5"
"KS","1"
"MT","1"
"OR","4"
"NH","1"
"WA","14"
"NJ","1"
"VA 20190","1"
"TX","14"
"CO","2"
"NC","6"
"PA","3"
"NE","2"
